id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,add_date,start_date,beat_date,complete_date,game_notes
97,Mario Kart: Double Dash!!,,GCN,Racing,N,Completed,,,,,,,,
98,Metroid Prime,,GCN,Metroidvania,N,Completed,14,20,Actual,,,,,
99,Metroid Prime 2: Echoes,,GCN,Metroidvania,N,Beaten,14,34,Actual,,,,,
100,PAC-MAN World 2,,GCN,Platformer,N,Beaten,10,42,Actual,,,,,
101,Paper Mario: The Thousand Year Door,,GCN,RPG,N,Beaten,22,44,Actual,,,,,
102,Pikmin,,GCN,Real-time strategy,N,Completed,,,,,,,,
103,Shadow the Hedgehog,,GCN,Platformer,N,Completed,,,,,,,,
104,Sonic Adventure 2: Battle,,GCN,Platformer,N,Beaten,24,55,Actual,,,,,
105,Super Mario Sunshine,,GCN,Platformer,N,Completed,,,,,,,,
106,Super Monkey Ball 2,,GCN,Platformer,N,Completed,,,,,,,,
107,Super Smash Bros. Melee,,GCN,Fighting,N,Completed,286,14,Actual,,,,,
108,The Legend of Zelda: Four Swords Adventures,,GCN,Action-adventure,N,Completed,,,,,,,,
109,The Legend of Zelda: Twilight Princess,,GCN,Action-adventure,N,Beaten,,,,,,,,
110,The Legend of Zelda: Wind Waker,,GCN,Action-adventure,N,Beaten,,,,,,,,
111,Tony Hawk's Pro Skater 4,,GCN,Sports,N,Completed,,,,,,,,
112,Wario Ware Inc: Mega Party Games!,,GCN,Rhythm,N,Beaten,,,,,,,,
113,ATV Offroad Fury 3,,PS2,Racing,N,Completed,18,20,Actual,,,,,
114,Dance Dance Revolution Extreme (JP),,PS2,Rhythm,N,Completed,,,,,,,,
115,Dance Dance Revolution Extreme 2,,PS2,Rhythm,N,Mastered,,,,,,,,
116,Dance Dance Revolution SuperNOVA,,PS2,Rhythm,N,Completed,,,,,,,,
117,Dance Dance Revolution SuperNOVA 2,,PS2,Rhythm,N,Completed,,,,,,,,
118,Dance Dance Revolution X,,PS2,Rhythm,N,Completed,,,,,,,,
119,DDRMAX: Dance Dance Revolution,,PS2,Rhythm,N,Mastered,,,,,,,,
120,DDRMAX2: Dance Dance Revolution (JP),,PS2,Rhythm,N,Mastered,,,,,,,,
121,Devil May Cry,,PS2,Hack & Slash,N,Beaten,6,11,Actual,,41575,41578,,
122,Devil May Cry 2,,PS2,Hack & Slash,N,Beaten,3,34,Actual,,41578,41592,,
123,DT Racer,,PS2,Racing,N,Completed,,,,,,,,
124,Duel Masters,,PS2,TCG,N,Beaten,,,,,,,,
125,Final Fantasy IX,,PS,JRPG,N,Beaten,35,21,Actual,,,,,
126,Final Fantasy V,,PS,JRPG,N,Beaten,,,,,,,,
127,Final Fantasy VI,,PS,JRPG,N,Beaten,28,3,Actual,,,,,
128,Final Fantasy VII,,PS,JRPG,N,Beaten,30,20,Actual,,,,,
129,Final Fantasy VIII,,PS,JRPG,N,Beaten,36,9,Actual,,,,,
130,Final Fantasy X,,PS2,JRPG,N,Beaten,32,35,Actual,,,,,
131,Final Fantasy X-2,,PS2,JRPG,N,Beaten,18,49,Actual,,,41556,,
132,Final Fantasy XII: Collector's Edition,,PS2,JRPG,N,Beaten,62,43,Actual,,,,,
133,In The Groove,,PS2,Rhythm,N,Beaten,,,,,,,,
134,Kingdom Hearts,,PS2,ARPG,N,Beaten,26,58,Actual,,,41417,,
135,Kingdom Hearts II,,PS2,ARPG,N,Beaten,30,37,Actual,,41417,41480,,
136,NCAA Football 06,,PS2,Sports,N,Beaten,,,,,,,,
137,Sly 2: Band of Thieves,,PS2,Stealth,N,Completed,11,18,Actual,,,,,
138,Sly Cooper and the Thievius Raccoonus,,PS2,Stealth,N,Completed,,,,,,,,
139,Spy Hunter,,PS2,Vehicular combat,N,Completed,,,,,,,,
140,Star Wars Battlefront II,,PS2,Shooter,N,Beaten,19,17,Actual,,,,,
141,Advance Wars: Days of Ruin,,NDS,Turn-based tactics,N,Beaten,50,49,Actual,,,,,
142,Advance Wars: Dual Strike,,NDS,Turn-based tactics,N,Beaten,140,58,Actual,,,,,
143,Animal Crossing: Wild World,,NDS,Simulation,N,Infinite,,,,,,,,
144,Big Brain Academy,,NDS,Puzzle,N,Completed,,,,,,,,
145,Bomberman,,NDS,Action,N,Completed,3,21,Actual,,,,,
146,Chrono Trigger,,NDS,JRPG,N,Beaten,17,27,Actual,,41282,41299,,
147,Final Fantasy III,,NDS,JRPG,N,Beaten,35,12,Actual,,,,,
148,Final Fantasy Tactics A2: Grimoire of the Rift,,NDS,Turn-based tactics,N,Completed,108,59,Actual,,,41520,42418,
149,Golden Sun: Dark Dawn,,NDS,JRPG,N,Beaten,27,40,Actual,,,,,
150,Kirby Squeak Squad,,NDS,Platformer,N,Completed,,,,,,,,
151,Kirby Super Star Ultra,,NDS,Platformer,N,Completed,,,,,,,,
152,Mario Kart DS,,NDS,Racing,N,Completed,,,,,,,,
153,New Super Mario Bros.,,NDS,Platformer,N,Completed,,,,,,,,
154,Nintendogs: Lab & Friends,,NDS,Simulation,N,Beaten,,,,,,,,
155,Pokemon Diamond,,NDS,RPG,N,Beaten,400,0,Estimate,,,,,Not sure where this is...
156,Pokemon Platinum,,NDS,RPG,N,Beaten,219,6,Actual,,,,,
157,Pokemon Soul Silver,,NDS,RPG,N,Beaten,35,27,Actual,,41396,41407,,
158,Polarium,,NDS,Puzzle,N,Completed,33,28,Actual,,,,,
159,Rayman DS,,NDS,Platformer,N,Beaten,,,,,,,,
160,Ridge Racer DS,,NDS,Racing,N,Completed,,,,,,,,
161,Sonic Chronicles,,NDS,RPG,N,Beaten,7,42,Actual,,,,,
162,Sonic Rush,,NDS,Platformer,N,Beaten,5,22,Actual,,,41485,,
163,Super Mario 64DS,,NDS,Platformer,N,Completed,,,,,,,,
164,Tetris DS,,NDS,Puzzle,N,Completed,,,,,,,,22422 Tetris Points
165,The Legend of Zelda: Phantom Hourglass,,NDS,Action-adventure,N,Completed,,,,,,,,
166,The Legend of Zelda: Spirit Tracks,,NDS,Action-adventure,N,Beaten,18,17,Actual,,,,,
167,Wario Ware: Touched!,,NDS,Rhythm,N,Completed,,,,,,,,
168,Sonic and the Black Knight,,Wii,Platformer,N,Beaten,2,36,Actual,,41301,41303,,
169,Sonic Colors,,Wii,Platformer,N,Beaten,2,22,Actual,,,41392,,
170,Mario Kart 64,,VC,Racing,N,Completed,20,49,Actual,,,,,
171,Gradius,,VC,Shoot 'em up,N,Beaten,1,1/9/1900,Actual,12/25/2006,39076,39076,,
172,Gunstar Heroes,,VC,Platformer,N,Beaten,8,1/31/1900,Actual,12/25/2006,39076,39076,,
173,Super Mario Bros.,,VC,Platformer,N,Completed,7,2/13/1900,Actual,39076,39076,,,
174,Wii Sports,,Wii,Sports,N,Infinite,111,1/31/1900,Actual,39076,39076,,,
175,WarioWare: Smooth Moves,,Wii,Rhythm,N,Completed,7,2/1/1900,Actual,4/1/2007,4/1/2007,39173,39264,
176,Super Paper Mario,,Wii,RPG,N,Completed,29,2/26/1900,Actual,4/9/2007,4/9/2007,39202,39508,
177,Boxed In,,iPod,Puzzle,N,Completed,,,,,,,,
178,Trace,,iPod,Platformer,N,Completed,,,,,,,,
179,Pokemon Battle Revolution,,Wii,RPG,N,Beaten,13,1/8/1900,Actual,7/1/2007,39264,39264,,
180,Super Mario Bros. 2 (The Lost Levels),,VC,Platformer,N,Beaten,7,1/12/1900,Actual,11/1/2007,39387,41320,,
181,Super Mario Bros. 3,,VC,Platformer,N,Completed,10,1/4/1900,Actual,11/1/2007,39387,41006,,
182,Super Mario Galaxy,,Wii,Platformer,N,Completed,51,2/24/1900,Actual,11/1/2007,11/1/2007,39417,39645,
183,Super Monkey Ball: Banana Blitz,,Wii,Platformer,N,Completed,18,1/12/1900,Actual,11/1/2007,11/1/2007,39387,39569,
184,Madden 08,,Wii,Sports,N,Beaten,30,1/0/1900,Actual,12/25/2007,39441,39441,,
185,Wii Play,,Wii,Party,N,Completed,3,2/4/1900,Actual,12/25/2007,12/25/2007,39441,39441,
186,StarTropics,,VC,Action-adventure,N,Infinite,7,2/4/1900,Actual,39448,39448,,,
187,Super Smash Bros. Brawl,,Wii,Fighting,N,Beaten,289,1/11/1900,Actual,3/9/2008,39516,39516,,
188,Guitar Hero III: Legends of Rock,,Wii,Rhythm,N,Beaten,22,2/5/1900,Actual,3/10/2008,39517,39517,,
189,Mario Kart Wii,,Wii,Racing,N,Completed,80,2/7/1900,Actual,5/29/2008,5/29/2008,39597,39607,
190,Beat Hazard,,Steam,,N,Beaten,,,,,,,,
191,BIT.TRIP BEAT,,Steam,,N,Beaten,,,,,,41432,,
192,Blur,,Steam,,N,Beaten,,,,,,,,
193,Bomb Sworders,,Steam,,N,Wish List,,,,,,,,
194,Bullet Candy,,Steam,,N,Beaten,,,,,,,,
195,Chime,,Steam,,N,Beaten,,,,,,,,
196,Cogs,,Steam,,N,Beaten,,,,,41236,41236,,
197,Core Pack,,Steam,,N,Beaten,,,,,,41602,,
198,Counter-Strike: Source,,Steam,,N,Infinite,,,,,,,,
199,Counter-Strike: Source Beta,,Steam,,N,Infinite,,,,,,,,
200,Darwinia,,Steam,,N,Infinite,,,,,,,,
201,Day of Defeat: Source,,Steam,,N,Beaten,,,,,,,,
202,DEFCON,,Steam,,N,Beaten,,,,,,41236,,
203,DiRT 3 Complete Edition,,Steam,,N,Beaten,,,,,,,,
204,Droplitz,,Steam,,N,Beaten,,,,,,,,
205,Due Process,,Steam,,N,Wish List,,,,,,,,
206,Dunk Lords,,Steam,,N,Wish List,,,,,,,,
207,Earth Defense Table,,Steam,,N,Beaten,,,,,,41602,,
208,Eufloria,,Steam,,N,Beaten,,,,,,41333,,
209,Eufloria HD,,Steam,,N,Beaten,,,,,,42197,,
210,Galcon Fusion,,Steam,,N,Beaten,,,,,,,,
211,Geometry Wars: Retro Evolved,,Steam,,N,Completed,,,,,,,41237,
212,Grand Theft Auto,,Steam,,N,Infinite,,,,,,,,
213,Grand Theft Auto III,,Steam,,N,Beaten,,,,,41472,41474,,
214,Grand Theft Auto: San Andreas,,Steam,,N,Beaten,,,,,,,,
215,Grand Theft Auto: Vice City,,Steam,,N,Beaten,,,,,41539,41866,,
216,Half-Life 2,,Steam,,N,Beaten,,,,,,,,
217,Half-Life 2: Deathmatch,,Steam,,N,Infinite,,,,,,,,
218,Half-Life 2: Episode One,,Steam,,N,Beaten,,,,,,41327,,
219,Half-Life 2: Episode Two,,Steam,,N,Beaten,,,,,41327,41329,,
220,Lumines,,Steam,,N,Beaten,,,,,,41236,,
221,Paranormal Table,,Steam,,N,Beaten,,,,,,41602,,
222,Plain Sight,,Steam,,N,Beaten,,,,,,,,
223,Portal,,Steam,,N,Beaten,,,,,,,,
224,Portal 2,,Steam,,N,Beaten,,,,,,41465,,
225,Puzzle Agent,,Steam,,N,Completed,,,,,3/8/2013,41343,41343,
226,Puzzle Dimension,,Steam,,N,Beaten,,,,,,41352,,
227,QuantZ,,Steam,,N,Beaten,,,,,,,,
228,Rhythm Zone,,Steam,,N,Beaten,,,,,,,,
229,Sid Meier's Civilization 5,,Steam,,N,Beaten,,,,,,,,
230,Sorcerer's Lair,,Steam,,N,Beaten,,,,,,41602,,
231,Super Laser Racer,,Steam,,N,Beaten,,,,,,,,
232,Team Fortress 2,,Steam,,N,Beaten,,,,,,,,
233,Torchlight,,Steam,,N,Completed,,,,,,41341,43107,
234,Turba,,Steam,,N,Beaten,,,,,,,,
235,VVVVVV,,Steam,,N,Beaten,,,,,,,,
236,Zen Classics Pack,,Steam,,N,Beaten,,,,,,41602,,
237,Wii Sports Resort,,Wii,Sports,N,Infinite,44,1/26/1900,Actual,10/22/2009,10/22/2009,40108,40108,
238,Mario Golf,,VC,Sports,N,Completed,60,1/8/1900,Actual,12/25/2009,12/25/2009,40172,42735,
239,Mega Man 9,,VC,Platformer,N,Beaten,28,2/12/1900,Actual,12/25/2009,40172,41348,,
240,Call of Duty: Black Ops,,360,Shooter,N,Beaten,183,21,Actual,,,,,"Beat on Regular difficulty. I thought the campaign was really fantastic. This was the first FPS I ever really played thoroughly, getting to 4th prestige (for whatever reason XD), but I had a good time with this game."
241,Call of Duty: Black Ops II,,360,Shooter,N,Beaten,204,2,Actual,,,,,"Master Prestige, Rank 6 Silver. I love CoD."
242,Call of Duty: Modern Warfare 2,,360,Shooter,N,Beaten,11,14,Actual,,,,,Woohoo! Black Ops and MW3 are still my games of choice.
243,Call of Duty: Modern Warfare 3,,360,Shooter,N,Beaten,151,13,Actual,,,,,"6th prestige, level 41. Really cool campaign. Can''t wait to finish the first two games now so I know what just happened. XD"
244,Devil May Cry 4,,360,,N,Infinite,,,,,,,,"Let my cousin play it and now I can''t find it!? T_T Might need to rebuy. Just from what I gathered watching my cousin play, the game is fantastic."
245,DiRT,,360,Racing,N,Completed,16,38,Actual,,,,,ONE THOUSAND MILES.Actually turned out to be pretty fantastic once it grew on me. Screw Rally Raid. XD 
246,DiRT 2,,360,Racing,N,Completed,20,0,Actual,,,,,"Missions with Brando. XD After playing, 3, Showdown, and 1 in that order, 2 might actually be my favorite of them all. Even though I love all 4 in the series."
247,DiRT 3,,360,Racing,N,Completed,67,13,Actual,,,,,"Rep 30, Fanbase 40. The best racing game I''ve played in a long, long time."
248,DiRT Showdown,,360,Racing,N,Completed,40,5,Actual,,,,,"Racenet Team Championship. DiRT 3 definitely wins for realistic car control, but the fireworks and amazing gameplay make me fall in love with this spinoff. Another awesome racing game."
249,Final Fantasy XIII,,360,JRPG,N,Completed,109,28,Actual,,,,41470,"Treasure Hunter was merciless. I can''t even begin to describe how much I love this game. Everyone hated on the open world, but I thought the story should have more than made up for it, and I actually kinda liked the linearity."
250,Final Fantasy XIII-2: Collector's Edition,,360,JRPG,N,Completed,62,26,Actual,,,,,1000 GS and 160 fragments in 62:26:16! :D
251,Forza Horizon,,360,Racing,N,Completed,28,50,Actual,,12/3/2012,41248,41250,"Yellow 25 in multiplayer. Horrible collision, excellent and fun game, DLC costs way too much and I''m not paying for it."
252,Marvel vs. Capcom 3: Fate of Two Worlds,,360,Fighting,N,Beaten,31,14,Actual,,,,,"Beat Arcade mode on Easy :P Worst game ever. Trololololololol XD such a rage game. Blast with friends, it''s really that simple. This game can and will make you hate things though."
253,Street Fighter IV,,360,,N,Beaten,,,,,,,,Beat arcade mode or something. Bleh. Not really a Street Fighter kind of player. It's an okay game. More fun to watch high-level players.
254,Tekken 6,,360,Fighting,N,Beaten,0,31,Actual,,,,,"Beat something. Bleh, I''m not much of a Tekken player. But I love Eddy!"
255,Ultimate Marvel vs. Capcom 3,,360,Fighting,N,Beaten,5,12,Actual,,,,,I don't play this game. XD RAGE.
256,Virtua Tennis 3,,360,Sports,N,Beaten,13,9,Actual,,,,,"#1 Rank! :D Still need the other half of the achievements. I actually prefer the gameplay of the original Virtua Tennis for Dreamcast, but the career mode in this game is quite well done."
257,Wii Fit Plus,,Wii,Exergaming,N,Infinite,32,2/21/1900,Actual,1/1/2010,1/1/2010,40179,40179,
258,Crazy Taxi,,XBLA,,N,Completed,,,,,,,,
259,Daytona USA,,XBLA,,N,Completed,,,,,,,,
260,Happy Wars,,XBLA,,N,Beaten,,,,,,,,
261,Ms. PAC-MAN,,XBLA,,N,Completed,,,,,,,,
262,PAC-MAN Championship Edition DX+,,XBLA,,N,Completed,,,,,,,,
263,Sonic Adventure DX: Director's Cut,,XBLA,Platformer,N,Completed,30,56,Actual,,,,,
264,PokÃ©mon GO,,Droid,,N,Infinite,,,,,,,,
265,Super Mario Galaxy 2,,Wii,Platformer,N,Completed,37,1/30/1900,Actual,5/26/2010,5/26/2010,40334,41420,
266,New Super Mario Bros. Wii,,Wii,Platformer,N,Beaten,2,1/28/1900,Actual,6/28/2010,40357,40357,,
267,StarCraft II: Heart of the Swarm,,BNet,,N,Beaten,,,,,,,,Waiting for the Void.
268,StarCraft II: Legacy of the Void,,BNet,,N,Not Started,,,,,,,,Haven't started.
269,StarCraft II: Wings of Liberty,,BNet,,N,Beaten,,,,,,,,ggwp. Definitely back into StarCraft. ^_^
270,Metroid Prime 3: Corruption,,Wii,Metroidvania,N,Beaten,24,1/5/1900,Actual,12/25/2010,40537,41376,,
271,Balloon Fight,,VCH,,N,Infinite,,,,,,,,
272,Donkey Kong Jr.,,VCH,,N,Infinite,,,,,,,,
273,Find Mii,,3DS,,N,Completed,,,,,,,41465,Got all the helmets!
274,Find Mii 2,,3DS,,N,Completed,,,,,,41465,41586,"All hats! :D StreetPass games, yay! This''ll always be a classic."
275,Fire Emblem: The Sacred Stones,,VCH,Turn-based tactics,N,Beaten,24,10,Actual,,,,,
276,F-Zero: Maximum Velocity,,VCH,,N,Beaten,,,,,,,,
277,Ice Climber,,VCH,,N,Infinite,,,,,,,,
278,Kirby & The Amazing Mirror,,VCH,Platformer,N,Completed,6,20,Actual,,,,,
279,Mario & Luigi: Bowser's Inside Story,,3DS,,N,Wish List,,,,,,,,
280,Mario and Donkey Kong: Minis on the Move,,3DS,,N,Beaten,,,,,,,,30 stars.
281,Mario Golf,,VCH,Sports,N,Completed,5,46,Actual,,,,,
282,Mario Kart: Super Circuit,,VCH,Racing,N,Beaten,1,47,Actual,,,41238,,
283,Mario vs. Donkey Kong,,VCH,Puzzle,N,Beaten,4,20,Actual,,,,,
284,Mega Man,,VCH,Platformer,N,Completed,2,23,Actual,,,,,
285,Metroid,,VCH,Metroidvania,N,Beaten,5,8,Actual,,41345,41348,,
286,Metroid Fusion,,VCH,Metroidvania,N,Beaten,10,47,Actual,,41303,41311,,
287,Mii Force,,3DS,,N,Completed,,,,,11/1/2013,41584,41666,Hard Arcade mode. Shmup with streetpasses. PERFECT.
288,Monster Manor,,3DS,,N,Completed,,,,,11/1/2013,41613,41715,Thanks BB!
289,NES Open Tournament Golf,,VCH,,N,Beaten,,,,,,,,
290,Pokemon Omega Ruby,,3DS,RPG,N,Beaten,26,57,Actual,,41975,42098,,Battle Resort! Champion in 17:00!
291,Puzzle Swap,,3DS,Puzzle,N,Completed,188,,Actual,,,41465,41591,929/929.
292,Super Mario Bros.,,VCH,,N,Completed,,,,,,,41311,
293,The Legend of Zelda,,VCH,Action-adventure,N,Beaten,7,11,Actual,,,,,
294,The Legend of Zelda: Four Swords 25th Anniversary Edition,,3DS,Action-adventure,N,Beaten,18,51,Actual,,,,,"Silver keys + 5 medals. You don''t know how many medals of courage I stole from people as a 5th grader. XD So when I realized that this was a FREE DOWNLOAD, I freaked out. One of the best multiplayer games ever."
295,The Legend of Zelda: The Minish Cap,,VCH,Action-adventure,N,Beaten,13,18,Actual,,,,,
296,The Legend of Zelda: Tri-Force Heroes,,3DS,Action-adventure,N,Beaten,16,23,Actual,,,42326,,Outfits.
297,Wario Land 4,,VCH,Platformer,N,Beaten,8,28,Actual,,41250,,,
298,"Wario Ware, Inc. Mega Microgame$!",,VCH,,N,Beaten,,,,,,,,
299,Warrior's Way,,3DS,,N,Completed,,,,,11/1/2013,41607,41894,IT'S OVER.
300,Wrecking Crew,,VCH,,N,Infinite,,,,,,,,
301,Yoshi,,VCH,,N,Infinite,,,,,,,,
302,Yoshi's Island: Super Mario Advance 3,,VCH,Platformer,N,Beaten,7,47,Actual,,,41264,,
303,Zelda II: The Adventure of Link,,VCH,Action-adventure,N,Beaten,7,54,Actual,,,,,
304,Asura's Wrath,,PS3,,N,Beaten,,,,,,,,
305,Twisted Metal,,PS3,,N,Beaten,,,,,,,,
306,Hexic HD,,XBLA,,N,Beaten,,,,41241,,,,
307,Assassin's Creed III,,360,Stealth,N,Beaten,11,1/18/1900,Actual,12/11/2012,41269,41319,,"I''ve never played a game like this before, and it was very, very sweet."
308,Donkey Kong Country,,SNES,,N,Beaten,,,,41263,,,,
309,Kirby's Avalanche,,SNES,,N,Beaten,,,,41263,,,,
310,Super Mario Advance: Super Mario Bros. 2,,GBA,,N,Completed,,,,41263,,,,
311,Super Mario Bros. 2,,NES,,N,Completed,,,,41263,,,,
312,Super Mario Bros. 3,,NES,,N,Completed,,,,41263,,,,
313,Super Mario World 2: Yoshi's Island,,SNES,,N,Completed,,,,41263,,,,
314,Paper Mario: Sticker Star,,3DS,RPG,N,Completed,29,1/4/1900,Actual,12/25/2012,12/25/2012,41275,41277,8/8 super flags in 29:04! Absolute joy to play. Paper Mario strikes again!
315,Forza Motorsport 3,,360,,N,Beaten,,,,12/26/2012,,41290,,Won R1 championship. Very solid racing game. Nearly perfect...just needs more track variety. Got very stale after season 3.
316,Half-Life 2: Lost Coast,,Steam,,N,Completed,,,,41303,,,41329,
317,Taptiles,,WinStr,,N,Beaten,,,,2/5/2013,41310,41310,,
318,Zombies.,,PC,,N,Infinite,,,,41313,,,,
319,Superstar V8 Next Challenge,,PC,,N,Infinite,,,,41319,,,,
320,Mega Man 10,,XBLA,,N,Beaten,,,,2/17/2013,,41322,,
321,GRID,,360,,N,Completed,,,,3/2/2013,41336,41343,,"Legend is the final goal...Glitched achievement, GG. Completely different racing style from DiRT and Forza, but enjoyable. Not a fan of majorly glitched games, however."
322,Tetris Battle,,PC,,N,Infinite,,,,41356,,,,
323,DiRT 2,,Steam,,N,Beaten,,,,3/29/2013,,41371,,
324,Gears of War,,360,,N,Beaten,,,,4/1/2013,41465,41471,,"Finished the game on Casual. Man...Casual was plenty tough enough for me. XD Great game, makes me want to play the sequels..."
325,GRID 2,,360,Racing,N,Completed,28,1/30/1900,Actual,4/1/2013,5/28/2013,41430,41432,Level 23 multiplayer. Other than Virgin Media Endurance on Very Hard (aka impossible) this was a very enjoyable game. Time to wait for DiRT 4!
326,Tony Hawk's Pro Skater HD,,XBLA,,N,Beaten,,,,4/18/2013,,41383,,
327,Trials Evolution,,XBLA,Racing,N,Completed,19,2/27/1900,Actual,4/19/2013,,41385,41753,
328,Torchlight II,,Steam,,N,Infinite,,,,6/7/2013,41434,41551,,
329,Borderlands 2,,360,Shooter,N,Completed,183,2/14/1900,Actual,7/7/2013,7/12/2013,41615,41668,Level 56 Gunzerker.
330,TrackMania Nations Forever,,PC,,N,Infinite,,,,41463,,,,
331,Audiosurf,,PC,,N,Infinite,,,,41465,,,,
332,Combat Arms,,PC,,N,Infinite,,,,41465,,,,
333,Grand Chase,,PC,,N,Beaten,,,,41465,,,,
334,Gunbound Revolution,,PC,,N,Infinite,,,,41465,,,,
335,Kart Rider,,PC,,N,Infinite,,,,41465,,,,
336,Stepmania,,PC,,N,Infinite,,,,41465,,,,
337,Virtual Pool 2,,PC,,N,Infinite,,,,41465,,,,
338,Assassin's Creed II,,360,Stealth,N,Beaten,10,2/6/1900,Actual,7/16/2013,41501,41582,,"AC3 is better, but this was a fantastic game as well. ^_^"
339,Sonic Generations,,360,Platformer,N,Beaten,5,1/30/1900,Actual,7/26/2013,41487,41488,,"Fun stuff! Gonna work on completion soon. Typical Sonic game. Pretty easy to learn, hard to master. This one''s a bit generous in terms of difficulty, but extremely fun and something I look forward to playing again."
340,Crackdown,,360,,N,Beaten,,,,8/2/2013,,41517,,"Thanks for the help Alex! Pretty fun game, if not a bit frustrating at times."
341,Super Meat Boy,,Steam,,N,Completed,,,,8/4/2013,,41491,41756,
342,DOTA 2,,Steam,,N,Infinite,,,,41500,,,,
343,Burnout Paradise: The Ultimate Box,,Steam,,N,Beaten,,,,8/15/2013,41503,41525,,
344,Medal of Honor,,Steam,,N,Beaten,,,,8/15/2013,41539,41541,,
345,Mirror's Edge,,Steam,,N,Beaten,,,,8/15/2013,41541,41552,,
346,Pokemon White,,NDS,RPG,N,Beaten,45,1/11/1900,Actual,8/23/2013,41520,41535,,
347,PAC-MAN Championship Edition DX+,,Steam,,N,Completed,,,,9/20/2013,,41542,41544,
348,Dance Dance Revolution Extreme,,PS2,,N,Completed,,,,9/23/2013,,41544,41548,
349,Pokemon Y,,3DS,RPG,N,Beaten,158,2/5/1900,Actual,10/1/2013,41559,41561,,"Inspired by the World Championships...28/50 in a row is my best so far. Kalos Champion in 31:21! Honestly, I never thought I''d play a game like Silver again. That perfect, polished feeling. The level curve could have been more challenging, but in the end, the multiplayer additions more than make up for it."
350,Flower Town,,3DS,,N,Completed,,,,11/1/2013,,41591,41654,Missing about 100 colors. All plants. My 2nd favorite streetpass game. Fun!
351,The Legend of Zelda: A Link Between Worlds,,3DS,Action-adventure,N,Beaten,16,1/17/1900,Actual,11/18/2013,41602,41606,,"Going for completion on Hero Mode. Awesome, awesome game. Hero Mode should make it a lot more challenging!"
352,Epic Quest Table,,Steam,,N,Beaten,,,,11/24/2013,,41602,,
353,Marvel Pinball: Avengers Chronicles Pack,,Steam,,N,Beaten,,,,11/24/2013,,41602,,
354,Marvel Pinball: Original Pack,,Steam,,N,Beaten,,,,11/24/2013,,41602,,
355,Star Wars Pack,,Steam,,N,Beaten,,,,11/24/2013,,41602,,
356,Dark Souls: Prepare to Die Edition,,Steam,,N,Beaten,,,,11/28/2013,41606,41616,,
357,Fire Emblem: Awakening,,3DS,Turn-based tactics,N,Beaten,33,2/3/1900,Actual,11/29/2013,,41807,,Finished the game on Classic Hard.
358,Dust: An Elysian Tail,,Steam,,N,Beaten,,,,12/2/2013,41741,41744,,
359,Hearthstone: Heroes of Warcraft,,BNet,,N,Infinite,,,,41611,,,,
360,Borderlands: Game of the Year Edition,,Steam,,N,Completed,,,,12/7/2013,12/26/2013,41670,43044,
361,Bravely Default,,3DS,JRPG,N,Completed,82,1/15/1900,Actual,12/17/2013,2/12/2014,41727,41889,Everything.
362,Mario Party: Island Tour,,3DS,Party,N,Beaten,7,2/23/1900,Actual,12/25/2013,41633,41636,,Traded in.
363,Valdis Story: Abyssal City,,Steam,,N,Beaten,,,,1/1/2014,41710,41740,,
364,TrackManiaÂ² Stadium,,Steam,,N,Beaten,,,,1/2/2014,41669,41669,,
365,DiRT 3,,Steam,,N,Beaten,,,,1/31/2014,,41706,,
366,DiRT Showdown,,Steam,,N,Completed,,,,1/31/2014,3/12/2014,41710,43072,
367,Lightning Returns: Final Fantasy XIII,,360,JRPG,N,Beaten,22,2/7/1900,Actual,1/31/2014,41683,41688,,It took 22 hours to end the world. XD
368,DDRMAX2: Dance Dance Revolution,,PS2,,N,Completed,,,,2/5/2014,,41675,41705,
369,RESOGUN,,PS4,,N,Completed,,,,2/16/2014,,41686,41791,
370,Trials Fusion,,PS4,,N,Beaten,,,,4/18/2014,,41747,,
371,Grand Theft Auto 2,,Steam,,N,Infinite,,,,41751,,,,
372,Wreckfest,,Steam,,N,Completed,,,,4/22/2014,11/13/2014,43778,43779,
373,Operation Flashpoint: Dragon Rising,,Steam,,N,Infinite,,,,41751,,,,
374,Operation Flashpoint: Red River,,Steam,,N,Infinite,,,,41751,,,,
375,Overlord,,Steam,,N,Infinite,,,,41751,,,,
376,Overlord II,,Steam,,N,Infinite,,,,41751,,,,
377,Stonehearth,,Steam,,N,Infinite,,,,41751,,,,
378,Stormrise,,Steam,,N,Infinite,,,,41751,,,,
379,Heroes of the Storm,,BNet,,N,Infinite,,,,41771,,,,
380,Plants vs. Zombies: Game of the Year Edition,,Origin,,N,Beaten,,,,5/12/2014,41794,41803,,
381,Diablo II,,PC,,N,Beaten,,,,5/19/2014,41795,41800,,
382,Bastion,,Steam,,N,Beaten,,,,5/28/2014,41847,41849,,
383,Diablo III,,BNet,,N,Completed,,,,6/2/2014,6/21/2014,41829,41832,
384,Trials Frontier,,Droid,,N,Completed,,,,6/20/2014,,41858,41858,
385,Peggle Deluxe,,Steam,,N,Beaten,,,,6/22/2014,41815,41815,,
386,Peggle Nights,,Steam,,N,Beaten,,,,6/22/2014,41815,41824,,
387,Pokemon Trading Card Game Online,,PC,,N,Infinite,,,,41815,,,,
388,Rise of the Argonauts,,Steam,,N,Infinite,,,,41823,,,,
389,Chrono Cross,,PS,,N,Started,,,,41871,,,,
